属性								说明

android.permission.ACCESS_CHECKIN_PROPERTIES			允许读写访问 "properties"表在checkin数据库中，改值可以修改上传

android.permission.ACCESS_COARSE_LOCATION			通过WiFi或移动基站的方式获取用户粗略的经纬度信息，定位精度大概误差在30~1500米

android.permission.ACCESS_FINE_LOCATION				通过GPS芯片接收卫星的定位信息，定位精度达10米以内

android.permission.ACCESS_LOCATION_EXTRA_COMMANDS		允许应用程序访问额外的位置提供命令

android.permission.ACCESS_MOCK_LOCATION				获取模拟定位信息，一般用于帮助开发者调试应用

android.permission.ACCESS_NETWORK_STATE				获取网络信息状态，如当前的网络连接是否有效

android.permission.ACCESS_SURFACE_FLINGER			Android平台上底层的图形显示支持，一般用于游戏或照相机预览界面和底层模式的屏幕截图

android.permission.ACCESS_WIFI_STATE				允许程序访问Wi-Fi网络状态信息

android.permission.ACCOUNT_MANAGER				获取账户验证信息，主要为GMail账户信息，只有系统级进程才能访问的权限

android.permission.AUTHENTICATE_ACCOUNTS			允许一个程序通过账户验证方式访问账户管理ACCOUNT_MANAGER相关信息

android.permission.ADD_SYSTEM_SERVICE				允许程序发布系统级服务

android.permission.BATTERY_STATS				允许程序更新手机电池统计信息

android.permission.BIND_APPWIDGET				允许一个程序告诉appWidget服务需要访问小插件的数据库，只有非常少的应用才用到此权限

android.permission.BIND_DEVICE_ADMIN				请求系统管理员接收者receiver，只有系统才能使用

android.permission.BIND_INPUT_METHOD				请求InputMethodService服务，只有系统才能使用

android.permission.BIND_REMOTEVIEWS				必须通过RemoteViewsService服务来请求，只有系统才能用

android.permission.BIND_WALLPAPER				必须通过WallpaperService服务来请求，只有系统才能用

android.permission.BLUETOOTH					允许程序连接到已配对的蓝牙设备

android.permission.BLUETOOTH_ADMIN				允许程序发现和配对蓝牙设备

android.permission.BRICK					能够禁用手机，非常危险，顾名思义就是让手机变成砖头

android.permission.BROADCAST_PACKAGE_REMOVED			允许程序广播一个提示消息在一个应用程序包已经移除后

android.permission.BROADCAST_STICKY				允许一个程序广播常用intents

android.permission.CALL_PHONE					允许一个程序初始化一个电话拨号不需通过拨号 用户界面需要用户确认

android.permission.CALL_PRIVILEGED				允许一个程序拨打任何号码，包含紧 急号码无需通过拨号用户界面需要用户确认

android.permission.CAMERA					请求访问使用照相设备

android.permission.CHANGE_COMPONENT_ENABLED_STATE		改变组件是否启用状态

android.permission.CHANGE_CONFIGURATION				允许一个程序修改当前设置，如本地化

android.permission.CHANGE_NETWORK_STATE				改变网络状态如是否能联网

android.permission.CHANGE_WIFI_MULTICAST_STATE			改变WiFi多播状态

android.permission.CHANGE_WIFI_STATE				允许程序改变Wi-Fi连接状态

android.permission.CLEAR_APP_CACHE				清除应用缓存

android.permission.CLEAR_APP_USER_DATA				清除应用的用户数据

android.permission.CWJ_GROUP					允许CWJ账户组访问底层信息

android.permission.CELL_PHONE_MASTER_EX				手机优化大师扩展权限

android.permission.CONTROL_LOCATION_UPDATES			允许获得移动网络定位信息改变

android.permission.DELETE_CACHE_FILES				允许程序删除缓存文件

android.permission.DELETE_PACKAGES				允许程序删除应用

android.permission.DEVICE_POWER					允许访问底层电源管理

android.permission.DIAGNOSTIC					允许程序RW诊断资源

android.permission.DISABLE_KEYGUARD				允许程序禁用键盘锁

android.permission.DUMP						允许程序返回状态抓取信息从系统服务

android.permission.EXPAND_STATUS_BAR				允许一个程序扩展收缩在状态栏,Android开发网提示应该是一个类似Windows Mobile中的托盘程序

android.permission.FACTORY_TEST					作为一个工厂测试程序，运行在root用户

android.permission.FLASHLIGHT					访问闪光灯,Android开发网提示HTC Dream不包含闪光灯

android.permission.FORCE_BACK					允许程序强行一个后退操作是否在顶层activities

android.permission.FOTA_UPDATE					暂时不了解这是做什么使用的，Android开发网分析可能是一个预留权限.

android.permission.GET_ACCOUNTS					访问GMail账户列表

android.permission.GET_PACKAGE_SIZE				允许一个程序获取任何package占用空间容量

android.permission.GET_TASKS					允许一个程序获取信息有关当前或最近运行的任务，一个缩略的任务状态，是否活动等等

android.permission.GLOBAL_SEARCH				允许程序使用全局搜索功能

android.permission.HARDWARE_TEST				访问硬件辅助设备，用于硬件测试

android.permission.INJECT_EVENTS				允许一个程序截获用户事件如按键、触 摸、轨迹球等等到一个时间流

android.permission.INSTALL_LOCATION_PROVIDER			安装定位提供

android.permission.INSTALL_PACKAGES				允许程序安装应用

android.permission.INTERNAL_SYSTEM_WINDOW			允许程序打开内部窗口，不对第三方应用程序开放此权限

android.permission.INTERNET					访问网络连接，可能产生GPRS流量

android.permission.KILL_BACKGROUND_PROCESSES			允许程序调用killBackgroundProcesses(String).方法结束后台进程

android.permission.MANAGE_ACCOUNTS				允许程序管理AccountManager中的账户列表

android.permission.MANAGE_APP_TOKENS				管理创建、摧毁、Z轴顺序，仅用于系统

android.permission.MTWEAK_USER					允许mTweak用户访问高级系统权限

android.permission.MTWEAK_FORUM					允许使用mTweak社区权限

android.permission.MASTER_CLEAR					允许程序执行软格式化，删除系统配置信息

android.permission.MODIFY_AUDIO_SETTINGS			修改声音设置信息

android.permission.MODIFY_PHONE_STATE				修改电话状态，如飞行模式，但不包含替换系统拨号器界面

android.permission.MOUNT_FORMAT_FILESYSTEMS			格式化可移动文件系统，比如格式化清空SD卡

android.permission.MOUNT_UNMOUNT_FILESYSTEMS			挂载、反挂载外部文件系统

android.permission.NFC						允许程序执行NFC近距离通讯操作，用于移动支持

android.permission.PERSISTENT_ACTIVITY				创建一个永久的Activity，该功能标记为将来将被移除

android.permission.PROCESS_OUTGOING_CALLS			允许程序监视，修改或放弃播出电话

android.permission.READ_CALENDAR				允许程序读取用户的日程信息

android.permission.READ_CONTACTS				允许应用访问联系人通讯录信息

android.permission.READ_FRAME_BUFFER				读取帧缓存用于屏幕截图

com.android.browser.permission.READ_HISTORY_BOOKMARKS		读取浏览器收藏夹和历史记录

android.permission.READ_INPUT_STATE				获取当前键的输入状态，仅用于系统

android.permission.READ_LOGS					允许程序读取底层系统日志文件

android.permission.READ_PHONE_STATE				访问电话状态

android.permission.READ_OWNER_DATA				允许程序读取所有者数据

android.permission.READ_SMS					允许程序读取短信息

android.permission.READ_SYNC_SETTINGS				读取同步设置，读取Google在线同步设置

android.permission.READ_SYNC_STATS				读取同步状态，获得Google在线同步状态

android.permission.REBOOT					允许程序重新启动设备

android.permission.RECEIVE_BOOT_COMPLETED			允许程序开机自动运行

android.permission.RECEIVE_MMS					接收彩信

android.permission.RECEIVE_SMS					接收短信

android.permission.RECEIVE_WAP_PUSH				接收WAP PUSH信息

android.permission.RECORD_AUDIO					录制声音通过手机或耳机的麦克

android.permission.REORDER_TASKS				允许程序改变Z轴排列任务

android.permission.RESTART_PACKAGES				结束任务通过restartPackage(String)方法，该方式将在外来放弃

android.permission.SEND_SMS					发送短信

android.permission.SET_ACTIVITY_WATCHER				设置Activity观察器一般用于monkey测试

com.android.alarm.permission.SET_ALARM				设置闹铃提醒

android.permission.SET_ALWAYS_FINISH设				置程序在后台是否总是退出

android.permission.SET_ANIMATION_SCALE				设置全局动画缩放

android.permission.SET_DEBUG_APP				设置调试程序，一般用于开发

android.permission.SET_ORIENTATION				设置屏幕方向为横屏或标准方式显示，不用于普通应用

android.permission.SET_PREFERRED_APPLICATIONS			设置应用的参数，已不再工作具体查看addPackageToPreferred(String) 介绍

android.permission.SET_PROCESS_FOREGROUND			允许程序当前运行程序强行到前台

android.permission.SET_PROCESS_LIMIT				允许程序设置最大的进程数量的限制

android.permission.SET_TIME					设置系统时间

android.permission.SET_TIME_ZONE				设置系统时区

android.permission.SET_WALLPAPER				允许程序设置壁纸

android.permission.SET_WALLPAPER_HINTS				允许程序设置壁纸hits

android.permission.SIGNAL_PERSISTENT_PROCESSES			允许程序请求发送信号到所有显示的进程中

android.permission.STATUS_BAR					允许程序打开、关闭或禁用状态栏及图标

android.permission.SUBSCRIBED_FEEDS_READ			允许一个程序访问订阅RSS Feed内容提供

android.permission.SUBSCRIBED_FEEDS_WRITE			写入或修改订阅内容的数据库

android.permission.SYSTEM_ALERT_WINDOW				显示系统窗口

android.permission.UPDATE_DEVICE_STATS				更新设备状态

android.permission.USE_CREDENTIALS				允许程序请求验证从AccountManager

android.permission.USE_SIP					允许程序使用SIP视频服务

